Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.7777777777777778,0.7825077949324413,0.7777777777777778,0.7760067342386752
rfe,CNN,0.7728395061728395,0.7814952986814444,0.7728395061728395,0.7742320451770147
skb,ANN,0.7925925925925926,0.7921163594623316,0.7925925925925926,0.790465979086448
skb,CNN,0.7876543209876543,0.792873161850629,0.7876543209876543,0.7881638581991082
fscs,ANN,0.7950617283950617,0.7959741637810718,0.7950617283950617,0.7951053619835878
fscs,CNN,0.8074074074074075,0.8144082964699182,0.8074074074074075,0.8093413068512294
etc,ANN,0.7851851851851852,0.7864471661992488,0.7851851851851852,0.7826958243106013
etc,CNN,0.7901234567901234,0.7996901239001163,0.7901234567901234,0.7924658090898854
pc,ANN,0.7703703703703704,0.7833613453578748,0.7703703703703704,0.7642464135953195
pc,CNN,0.7925925925925926,0.7968237197870534,0.7925925925925926,0.7937676832519116
mi,ANN,0.7777777777777778,0.7773607220666044,0.7777777777777778,0.7766058747706756
mi,CNN,0.7530864197530864,0.7640764724722124,0.7530864197530864,0.7552744778094618
mir,ANN,0.8024691358024691,0.8046636120965085,0.8024691358024691,0.8025940725501284
mir,CNN,0.8345679012345679,0.8357107589240488,0.8345679012345679,0.8346198018659716
mu,ANN,0.8049382716049382,0.8065472916090922,0.8049382716049382,0.8033697943145282
mu,CNN,0.7802469135802469,0.7931820195893092,0.7802469135802469,0.7825355788668346
vt,ANN,0.7950617283950617,0.7970259668375328,0.7950617283950617,0.7935314354642035
vt,CNN,0.8123456790123457,0.8158362161415977,0.8123456790123457,0.8132739078205965
