Method,Selected Features
rfe,"['PSS1', 'PSS2', 'PSS3', 'PSS4', 'PSS5', 'PSS9', 'PSS10', 'PHQ2', 'PHQ4', 'PHQ5', 'PHQ6', 'PHQ7', 'PHQ8']"
skb,"['PSS1', 'PSS2', 'PSS3', 'PSS4', 'PSS6', 'PSS9', 'PSS10', 'PHQ2', 'PHQ3', 'PHQ4', 'PHQ6', 'PHQ7', 'PHQ8']"
fscs,"['PSS1', 'PSS2', 'PSS3', 'PSS4', 'PSS6', 'PSS9', 'PSS10', 'PHQ2', 'PHQ3', 'PHQ6', 'PHQ7', 'PHQ8', 'PHQ9']"
etc,"['PSS8', 'PSS5', 'PSS6', 'PSS7', 'PSS9', 'PSS1', 'PSS4', 'PHQ6', 'PHQ2', 'PHQ9', 'PHQ4', 'PHQ3', 'PHQ7']"
pc,"['PSS10', 'PSS2', 'PSS3', 'PSS4', 'PSS1', 'PSS9', 'PSS8', 'PHQ2', 'PHQ6', 'PHQ4', 'PHQ7', 'PHQ3', 'PHQ8']"
mi,"['PSS10', 'PSS1', 'PSS4', 'PSS9', 'PSS3', 'PSS2', 'PSS6', 'PHQ2', 'PHQ6', 'PHQ4', 'PHQ7', 'PHQ3', 'PHQ8']"
mir,"['PSS4', 'PSS10', 'PSS2', 'PSS1', 'PSS9', 'PSS3', 'PSS5', 'PHQ2', 'PHQ6', 'PHQ4', 'PHQ7', 'PHQ9', 'PHQ5']"
mu,"['PSS1', 'PSS2', 'PSS3', 'PSS4', 'PSS5', 'PSS6', 'PSS7', 'PHQ1', 'PHQ2', 'PHQ3', 'PHQ4', 'PHQ5', 'PHQ6']"
vt,"['PSS4', 'PSS1', 'PSS9', 'PSS10', 'PSS2', 'PSS3', 'PSS8', 'PHQ9', 'PHQ6', 'PHQ3', 'PHQ5', 'PHQ2', 'PHQ8']"
